uid,average_rating,elevation_gain,highpoint,mileage,mileage_type,tripreport_count,campsites,coast,dogs_ok,foliage,kids_ok,lakes,mountains,old_growth,ridges,rivers,summits,waterfalls,wildflowers,wildlife
001677bfe7114e3297b630e6c59e8e00,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00234c47604711f44cd63a1439aabb6c,3.0,3400.0,4840.0,7.0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00330df2a0c041debbbb6063395d4299,3.33333333333,None,None,6.5,4,44,0,0,1,0,1,1,0,0,0,1,0,1,1,0
003d7e0686ea4397ba4c4463373a2ff3,0.0,None,None,None,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0062cfc6a710437ba3b34ccb8f6fde66,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
006c26e490bd4909824c7b188421c0d0,5.0,200.0,4400.0,4.0,1,50,0,0,1,1,1,1,1,0,0,0,0,0,0,0
00720e642198dd4cf2218038c94fc5e4,3.8,None,None,None,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
009ef7262d9c4615a2ccf06249f72c3c,3.0,640.0,540.0,2.6,1,43,0,0,1,1,1,0,1,0,0,0,0,1,0,1
00b1510136a42c7e7365cdc7ab7eba28,0.0,None,None,None,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00c07acdd23098550fb8042548f53b5b,0.0,250.0,850.0,1.4,1,12,0,0,1,1,1,0,0,0,0,1,0,1,1,0
00c1056afd370a9cd52ab8441c7e2870,3.16666666667,400.0,5304.0,7.0,1,21,0,0,0,0,1,0,1,0,0,0,1,0,0,0
00dd3becd7d1e9852edd6fec13452232,4.16666666667,650.0,5757.0,3.2,1,226,0,0,0,0,1,0,1,0,1,0,1,0,1,1
00efa49e0ff75d5001086b18bd611cfa,2.0,None,None,18.0,1,22,0,0,0,0,0,0,1,0,0,0,0,0,0,0
01022558c1bb919c08f3157271dc5d64,3.5,1900.0,6100.0,12.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
010daa60492064f1dca0136a0638a5aa,4.36585365854,2280.0,5580.0,8.0,1,1525,1,0,0,1,0,1,1,0,0,1,1,0,0,0
