title,region name,uid,average_rating,elevation_gain,highpoint,mileage,mileage_type,tripreport_count,campsites,coast,dogs_ok,foliage,kids_ok,lakes,mountains,old_growth,ridges,rivers,summits,waterfalls,wildflowers,wildlife
Escondido Tarn,Snoqualmie Region -- Snoqualmie Pass,001677bfe7114e3297b630e6c59e8e00,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duke of Kent,Snoqualmie Region -- North Bend Area,00234c47604711f44cd63a1439aabb6c,3.0,3400.0,4840.0,7.0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lookout Mountain Forest Preserve,Puget Sound and Islands -- Bellingham Area,00330df2a0c041debbbb6063395d4299,3.33333333333,None,None,6.5,4,44,0,0,1,0,1,1,0,0,0,1,0,1,1,0
Dead Horse Lake,North Cascades -- Methow/Sawtooth,003d7e0686ea4397ba4c4463373a2ff3,0.0,None,None,None,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheep Mountain,North Cascades -- Mountain Loop Highway,0062cfc6a710437ba3b34ccb8f6fde66,0.0,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bertha May and Granite Lakes,South Cascades -- White Pass/Cowlitz River Valley,006c26e490bd4909824c7b188421c0d0,5.0,200.0,4400.0,4.0,1,50,0,0,1,1,1,1,1,0,0,0,0,0,0,0
Sunrise Nature,Mount Rainier Area -- NE - Sunrise/White River,00720e642198dd4cf2218038c94fc5e4,3.8,None,None,None,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chuckanut Falls,Puget Sound and Islands -- Bellingham Area,009ef7262d9c4615a2ccf06249f72c3c,3.0,640.0,540.0,2.6,1,43,0,0,1,1,1,0,1,0,0,0,0,1,0,1
Three Fools Pass,North Cascades -- Pasayten,00b1510136a42c7e7365cdc7ab7eba28,0.0,None,None,None,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maple Creek Loop Trail,North Cascades -- Mount Baker Area,00c07acdd23098550fb8042548f53b5b,0.0,250.0,850.0,1.4,1,12,0,0,1,1,1,0,0,0,0,1,0,1,1,0
