,hike_name,hike_id,numReports,total_dist,elevation gain,time_from_seattle,Wildlife,Rivers,Summits,Good for kids
0,Grand Park via Lake Eleanor,0,212.0,8.0,1100.0,116.533333333,1,0,0,0
1,Shellrock Pass,1,2.0,,,,0,0,0,0
2,Soda Peaks Lake,2,24.0,7.0,2500.0,227.333333333,0,0,0,0
3,Shorthorn,3,5.0,5.6,1400.0,207.433333333,0,0,0,0
4,West Fork Teanaway River,4,5.0,19.2,2800.0,115.75,1,0,0,1
5,Fishtrap Lake - North,5,4.0,4.0,126.0,233.516666667,1,0,0,0
6,Lake George,6,22.0,9.2,930.0,121.883333333,0,0,0,1
7,Martin Creek Connector,7,2.0,,,100.0,0,0,0,0
8,Japanese Gulch,8,19.0,4.0,174.0,36.9333333333,0,0,0,1
9,Oyster Dome,9,398.0,5.0,1900.0,78.7333333333,1,0,1,0
10,Fishtrap Lake - Scroggie Loop,10,2.0,3.0,200.0,236.9,1,0,0,1
11,Harmony Falls,11,10.0,2.0,700.0,186.816666667,0,0,0,0
12,Mildred Lakes,12,72.0,9.0,2300.0,150.8,0,0,0,0
13,The Enchantments,13,308.0,18.0,4500.0,172.283333333,1,1,1,0
14,Snow Lakes,14,214.0,14.0,4300.0,142.45,1,1,0,0
15,Muddy Fork Lava Bed,15,0.0,5.0,500.0,220.7,1,0,1,1
16,Juniper Ridge,16,37.0,6.0,1900.0,165.45,0,0,1,0
17,Harry's Ridge,17,81.0,8.0,200.0,164.35,0,0,0,0
18,Deep Creek,18,15.0,8.0,6920.0,92.2,0,0,0,0
19,Old Robe Canyon,19,119.0,2.4,350.0,62.8666666667,0,0,0,1
20,Mercer Slough Nature Park Trails,20,13.0,,,12.3333333333,1,0,0,1
21,Table Mountain,21,19.0,16.0,3350.0,199.15,0,0,0,0
22,Lillian Ridge,22,14.0,4.0,200.0,229.2,0,0,0,1
23,Windy Ridge Trail,23,30.0,4.0,200.0,201.483333333,0,0,0,0
24,Windy Pass,24,24.0,7.0,1300.0,256.383333333,0,0,0,1
25,Greider Lakes,25,128.0,9.2,1370.0,93.3333333333,0,0,0,0
26,Rock Mountain via Rock Lake,26,89.0,11.0,4175.0,108.65,0,0,1,0
27,John Wayne Trail - Tekoa Trailhead,27,2.0,,,291.716666667,0,0,0,1
28,Lake Serene - Bridal Veil Falls,28,1015.0,8.2,2000.0,70.15,0,0,0,1
29,Mount Pilchuck,29,800.0,5.4,2300.0,91.1,0,0,1,0
30,Lake Twentytwo - Lake 22,30,989.0,5.4,1350.0,71.2166666667,1,1,0,1
31,Island Lake - Rainbow Lake,31,144.0,10.0,2000.0,54.8333333333,0,0,0,0
32,Licorice Fern Trail,32,33.0,3.8,200.0,27.1333333333,1,0,0,0
33,Willapa Hills Trail,33,4.0,,,89.6666666667,1,0,0,1
34,Silver Lake,34,4.0,9.2,2800.0,257.8,0,0,0,0
35,Tatie Peak and Grasshopper Pass,35,39.0,11.0,1750.0,258.7,0,0,1,0
36,Driveway Butte,36,36.0,8.0,3030.0,203.883333333,1,0,1,0
37,Slate Peak,37,14.0,0.7,250.0,,0,0,0,0
38,Twin Falls,38,326.0,3.5,500.0,38.8666666667,0,1,0,1
39,Copper City Ghost Town,39,2.0,0.5,27.0,166.0,0,0,0,0
40,Twin Sisters Lakes,40,63.0,5.0,800.0,189.783333333,0,0,0,1
41,Old Snowy Mountain - Elk Pass,41,34.0,17.0,3100.0,186.0,1,0,1,0
42,Junction Lake,42,2.0,5.0,700.0,275.066666667,0,0,0,0
43,Nannie Ridge-Sheep Lake,43,40.0,9.0,1800.0,201.533333333,0,0,0,0
44,Snowgrass - Cispus Basin - Nannie Ridge Loop,44,42.0,19.6,3000.0,182.733333333,0,1,0,0
45,Snowgrass Flat,45,116.0,8.2,1600.0,187.366666667,0,0,0,0
46,Naches Peak Loop,46,281.0,3.2,600.0,108.966666667,0,0,0,1
47,Bird Mountain Loop,47,18.0,10.25,1875.0,249.066666667,0,0,1,0
48,Stagman Ridge—Horseshoe Meadow,48,7.0,9.0,1700.0,250.45,1,0,0,0
49,Muddy Meadows/Foggy Flat,49,6.0,11.6,1710.0,226.1,0,0,0,0
50,Council Bluff,50,6.0,3.0,1000.0,205.8,0,0,1,1
51,Sunrise Peak,51,20.0,3.0,1400.0,184.0,0,0,1,0
52,Potato Hill,52,2.0,3.0,550.0,220.666666667,0,0,1,0
53,High Lakes Ramble,53,1.0,5.4,200.0,203.05,1,0,0,0
54,Takhlakh Lake Loop,54,9.0,3.0,90.0,206.05,0,0,0,1
55,Silver Star Mountain - Ed's Trail,55,35.0,5.0,1240.0,215.216666667,0,0,1,0
56,Trapper Creek,56,19.0,9.0,4607.0,227.366666667,1,1,0,1
57,Little Huckleberry Mountain,57,9.0,5.0,1800.0,255.733333333,0,0,1,0
58,Willard Springs Trail,58,6.0,,,257.683333333,1,0,0,1
59,Pinnacle Saddle,59,83.0,2.5,1000.0,142.25,1,0,0,0
60,Nisqually Vista Loop,60,29.0,1.1,200.0,144.15,1,0,0,0
61,Burroughs Mountain,61,269.0,9.0,2600.0,143.383333333,1,0,1,1
62,Sourdough Ridge,62,29.0,2.5,400.0,143.383333333,1,0,0,0
63,Mima Falls,63,63.0,6.5,650.0,82.7666666667,0,0,0,0
64,Lava Canyon,64,32.0,5.0,1600.0,204.866666667,0,1,0,1
65,John Tursi Trail,65,2.0,2.2,600.0,87.3166666667,1,0,0,1
66,Canyon Lake Community Forest,66,4.0,7.5,2400.0,120.75,0,0,0,0
67,Seward Park,67,11.0,,,17.3833333333,1,0,0,1
68,Mount McCausland,68,53.0,7.0,1800.0,120.366666667,0,0,1,0
69,Heather Lake,69,624.0,4.6,1034.0,73.9333333333,0,0,0,1
70,Bead Lake,70,9.0,11.4,400.0,325.766666667,0,0,0,1
71,Eagle Creek,71,29.0,12.5,1100.0,193.533333333,0,0,0,0
72,Summit Lake,72,254.0,6.1,1300.0,102.6,1,0,1,1
73,Sheep Canyon,73,12.0,4.5,1200.0,231.966666667,0,0,0,0
74,Cougar Lakes,74,20.0,8.0,1200.0,186.183333333,0,0,0,0
75,Welcome Pass and the High Divide,75,64.0,8.0,3400.0,150.516666667,0,0,1,0
76,Bandera Mountain,76,561.0,8.0,3400.0,56.15,0,0,1,0
77,North Fork Sauk Falls,77,34.0,0.4,200.0,120.083333333,0,1,0,1
78,Granite Mountain,78,864.0,8.6,3800.0,47.2,0,0,1,0
79,Rattlesnake Ledge,79,856.0,4.0,1160.0,39.0833333333,0,0,1,1
80,Guye Peak,80,65.0,6.0,2100.0,52.9,1,0,0,0
81,Wallace Falls State Park,81,611.0,5.6,1300.0,64.8666666667,0,1,0,1
82,Little Si,82,432.0,4.7,1300.0,35.3166666667,0,0,0,0
83,Mailbox Peak,83,220.0,9.4,4000.0,42.8166666667,0,0,1,0
84,Bridal Veil Falls,84,157.0,4.0,1000.0,108.616666667,0,0,0,1
85,Hoodoo Canyon,85,10.0,6.5,1430.0,351.966666667,0,0,0,0
86,Mount Si,86,1040.0,8.0,3150.0,40.2666666667,1,0,1,0
87,Sauk Mountain,87,223.0,4.2,1200.0,140.85,0,0,0,0
88,Mount Muller,88,39.0,13.0,3200.0,191.066666667,0,0,0,0
89,Talapus and Olallie Lakes,89,693.0,6.2,1220.0,54.8333333333,1,0,0,1
90,Che-che-op-tin Trail,90,1.0,1.0,10.0,189.0,0,0,0,1
91,Antoine Peak - Canfield Gulch,91,1.0,,,,0,0,0,0
92,Mount Ross,92,1.0,14.5,6048.0,,0,0,0,0
93,Morgan Tidelands,93,1.0,,,109.65,0,0,0,1
94,South Fork Silver Creek Trail to Gunsight Pass,94,1.0,14.0,2370.0,394.383333333,1,0,0,0
95,Manastash Lake,95,28.0,8.0,2100.0,163.0,1,0,0,1
96,Frenchman's Bar,96,0.0,2.5,210.0,164.183333333,0,0,0,0
97,Melton Creek Trail,97,2.0,19.4,3800.0,349.75,0,0,0,0
98,Philadelphia Mountain,98,1.0,,,108.616666667,0,0,0,0
99,Jumbo Mountain,99,1.0,8.0,4500.0,99.0666666667,0,0,0,0
100,Maury Island Marine Park,100,2.0,3.0,500.0,80.9166666667,0,0,0,1
101,Palmer Mountain,101,2.0,,,86.4666666667,0,0,0,0
102,Iverson Spit,102,1.0,,,71.7666666667,0,0,0,1
103,Capitol Lake Trails (Marathon Park and Heritage Park),103,1.0,,,67.6666666667,0,0,0,1
104,Foggy Dew Creek,104,16.0,14.0,4620.0,244.433333333,0,0,0,0
105,Seattle Chinese Garden,105,1.0,,,16.6666666667,0,0,0,0
106,Easter Peak,106,2.0,11.66,5326.0,95.9,0,0,0,0
107,North Fork Asotin Creek to Pinkham Butte,107,3.0,20.0,1750.0,329.05,1,0,0,0
108,Burfoot Park,108,1.0,3.0,150.0,75.1666666667,0,0,0,1
109,Dungeness Recreation Area,109,1.0,,,142.6,1,0,0,1
110,Picnic Point,110,1.0,,,31.45,1,0,1,1
111,Interurban Trail - Snohomish County,111,1.0,,,19.3,0,0,0,0
112,Capitol State Forest - Waddell Basin West,112,1.0,,,81.0833333333,0,0,0,0
113,Purcell Lookout,113,10.0,8.2,2600.0,159.383333333,0,0,0,0
114,Iverson Railroad Trail,114,26.0,3.0,850.0,33.3666666667,0,0,0,0
115,Silent Swamp Loop,115,21.0,8.8,600.0,30.5666666667,1,0,0,1
116,Northwest Timber Trail,116,34.0,5.0,200.0,32.55,0,0,0,1
117,Snow Lake,117,833.0,7.2,1800.0,53.6333333333,0,0,0,1
118,Pine Ridge Park,118,1.0,1.2,120.0,26.5166666667,1,0,0,1
119,Wilburton Hill Park,119,1.0,2.8,175.0,16.3666666667,1,0,0,1
120,Yost Park,120,1.0,1.5,220.0,25.7166666667,1,0,0,1
121,Rowena Plateau and Tom McCall Point,121,8.0,3.4,1200.0,229.583333333,0,0,0,0
122,Eagle Lake Fisherman's Trail,122,41.0,5.0,712.0,116.433333333,1,0,0,1
123,High School Trail,123,27.0,2.1,375.0,24.4,1,0,0,1
124,Wallace Falls State Park - Jay Lake,124,17.0,,,64.7333333333,0,0,0,1
125,Wallace Falls State Park - Greg Ball Trail,125,121.0,8.2,1500.0,64.1166666667,0,1,0,1
126,Umtanum Ridge Crest,126,80.0,6.0,2400.0,121.966666667,1,0,1,0
127,Rainbow Falls State Park,127,9.0,3.0,200.0,104.416666667,0,0,0,1
128,Little Spokane River Natural Area: Knothead Loop,128,6.0,8.0,1000.0,268.95,1,0,1,0
129,Snoqualmie Falls,129,65.0,1.4,250.0,36.3666666667,0,1,0,1
130,Mount Rose,130,184.0,6.4,3500.0,121.6,0,0,1,0
131,Spruce Railroad Trail,131,58.0,8.0,250.0,180.15,0,0,0,1
132,Hurricane Hill,132,104.0,3.0,950.0,187.4,1,0,1,0
133,Denny Creek,133,417.0,6.0,1345.0,54.6666666667,0,1,0,1
134,Silver Falls Loop,134,60.0,2.7,200.0,121.583333333,0,0,0,1
135,Mount Baldy,135,26.0,,,121.666666667,0,0,0,0
136,Wallace Falls - Lake Loop,136,91.0,9.0,1544.0,64.75,0,1,0,0
137,Twin Lakes (Wenatchee),137,83.0,8.4,1000.0,146.133333333,0,0,0,0
138,Ohanapecosh Hot Springs,138,8.0,1.0,50.0,121.583333333,0,1,0,1
139,Dungeness Spit,139,88.0,11.0,130.0,142.916666667,1,0,0,1
140,Tolmie Peak Lookout - Eunice Lake,140,180.0,7.5,1100.0,124.9,0,0,1,1
141,Wolf Creek,141,24.0,21.0,4270.0,243.65,1,0,0,0
142,Big Creek,142,100.0,4.5,900.0,116.15,0,0,0,0
143,Cowiche Mountain,143,0.0,7.0,1140.0,149.133333333,1,0,0,0
144,Gypsy Peak,144,0.0,16.0,1750.0,432.433333333,1,0,0,0
145,Sherman Point Loop,145,1.0,3.0,200.0,336.616666667,1,0,0,0
146,Saint Edward State Park,146,37.0,3.0,400.0,33.2666666667,1,0,0,1
147,Monte Cristo Ghost Town,147,124.0,8.0,700.0,100.383333333,0,0,0,1
148,Mount Walker,148,150.0,4.0,2000.0,119.05,1,0,1,0
149,Klapatche Park,149,12.0,21.4,3300.0,132.366666667,1,0,0,0
150,Mystic Lake,150,12.0,18.0,1870.0,143.566666667,1,0,0,0
151,Ira Spring Trail - Mason Lake,151,754.0,6.5,2420.0,56.15,0,0,0,0
152,Iron Bear - Teanaway Ridge,152,186.0,6.5,1900.0,107.85,0,0,0,0
153,Crystal Lakes,153,182.0,6.0,2600.0,98.1,1,0,0,0
154,Mount Peak (Pinnacle Peak),154,57.0,2.4,1058.0,60.15,0,0,1,0
155,Tieton River Meadows Snowshoe,155,3.0,10.0,350.0,158.4,1,0,0,0
156,Stimpson Nature Reserve,156,14.0,4.9,300.0,92.8166666667,1,0,0,1
157,Illahee Forest Preserve,157,3.0,2.7,210.0,80.0833333333,0,0,0,0
158,Pack Forest - Little Mashel Falls,158,40.0,5.0,500.0,83.15,1,1,0,0
159,Annette Lake,159,712.0,7.5,1400.0,48.5833333333,0,1,0,0
160,Little Quilcene River,160,62.0,6.8,2180.0,111.916666667,1,0,1,0
161,Hoh River Trail to Five Mile Island,161,109.0,10.6,300.0,241.616666667,1,1,0,1
162,Green Lake,162,115.0,9.6,1150.0,100.366666667,0,0,0,1
163,Diablo Lake,163,57.0,7.6,1400.0,151.116666667,0,0,0,0
164,Cedar Butte,164,202.0,3.5,900.0,39.0833333333,0,0,1,1
165,Perry Creek,165,251.0,10.5,3400.0,96.3166666667,0,0,1,0
166,Poo Poo Point,166,359.0,7.2,1858.0,24.0666666667,1,0,0,0
167,Greenwater and Echo Lakes,167,275.0,14.0,1900.0,97.9,1,1,0,1
168,Bear Lake,168,37.0,0.8,75.0,98.9,0,0,0,1
169,Mount Defiance,169,319.0,11.0,3584.0,56.15,0,0,1,0
170,Skyline Lake Snowshoe,170,92.0,3.0,1100.0,100.183333333,0,0,0,1
171,West Fork Foss River and Lakes,171,305.0,14.6,3300.0,101.833333333,0,1,0,0
172,Suntop Lookout,172,62.0,2.1,1100.0,93.45,0,0,1,0
173,Mildred Point,173,29.0,7.0,3135.0,123.066666667,0,0,0,0
174,Van Trump Park,174,65.0,6.0,2150.0,130.683333333,0,1,0,0
175,Heather Creek Trail via Upper Dungeness River,175,16.0,15.8,1800.0,183.783333333,0,1,0,0
176,Mink Lake,176,10.0,5.2,1450.0,210.783333333,0,0,0,1
177,Tunnel Creek,177,91.0,9.4,2450.0,150.45,0,0,0,0
