HikeName	AuthorName	TrailConditions	Road	Bugs	Snow	ReportText	DateHiked	Url
Rattlesnake Ledge	ninjaracerchick	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	Got on trail around 7, finally decided to check this one off my list because I wanted something close to town and not too long. Great little climb, and a good work out. Tread is easy and you can tell lots of work was done to make it smooth. Did have to pass quite a few disrespectful hikers, another reason I avoid these close easier hikes, loud music not sharing the trail etc... went to the main ledge and climbed up to the upper ledge	Aug 16, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-16.0369866109
Sumner Link Trail	Naturegym	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	Very short distance. Signage is poor so if parking according to wta directions, you either end up in downtown Sumner or at the 410 bridge within 5 minutes and no signage to give further directions. Having gps is helpful. The Riverside Trail on the opposite side of the river was much better. They are all paved and great for strollers and family walk. 	Aug 16, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-16.9743997351
Alger Alp (South Route)	nrthpole	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	August 16th, 2018 Arrived  0830 at Squire lake parking lot and I was the only vehicle. Hiked up to Squire Lake then Squire lake loop trail heading south where I then followed South Ridge Trail to the park boundary. I believe this is part of the PNWST (Pacific Northwest Scenic Trail). Eventually will turn into logging road that leads to logging road 1300. Stay on logging road 1300 until you see road 1000. there is a visible sign. Hike that to the end  (Alger Alp).  Im 62 years old and made it to the summit in about an hour and 15 minutes. Took in the view had a little bit to eat then headed back down via the Squires Lake loop trail.  I was at my car at 1130. Parking lot had 4 cars at that time.  but never ran into anyone except one girl walking her 3 big dogs around the lake. Enjoyable  morning. Not to many views. Road 1000 is a little steep but smooth and wide. (No roots or big rocks to step over) Just pace yourself. Or run if you can.	Aug 16, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-16.6955435729
Dosewallips State Park - Steam Donkey Trail	cholcomb	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	Lots of roots and large rocks, would be careful with young kids. 	Aug 16, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-16.8954162869
Old Man's Trail	EmilB	Obstacles on trail:	    Trees down across trail.	Road suitable for all vehicles	No bugs	- Plenty of Sky Country parking at 10 AM on a cool, foggy Thursday. - The Nike meadow looked like a pen of small clouds. - Last night (8/15) a tree fell over the Nike Horse trail, just south of the meadow.  (But, no one is out there in a wheel chair or bicycle, so it's no big deal.) - If you haven't taken the   out of the lot, please give it a try.  The only quick round-trip back is Clay Pit Road (which for a stretch is in front of a housing development, outside the entry gate), but the trail has a lovely fall-away ravine view and a log bridge; which are the two most exciting things that close to the parking lot. Per Garmin,  .   Every stretch of the figure-8-shaped lot is a one-way (see the attached picture).  Directionality is indicated with traffic signs and pavement arrows.  However, people frequently drive against the one-ways.  We’ve all disregarded parking lot traffic signs, but the lot has blind corners that are only safe when directionality is followed.  I have seen people charging excitedly into the parking lot and around blind corners with the confidence they have the right-of-way to the whole lane.  I have also seen people in a hurry to get home drive furiously around the same blind corners the wrong way.  At some point, people will collide.  So, do not be one of those people; recognize that, once you are in the parking lot, Mad Max rules apply and drive cautiously around every corner assuming someone could be hurtling against the one-way toward you.	Aug 16, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-16.2527576787
Bald Mountain	Pribbs	Obstacles on trail:	    Trees down across trail,	    Overgrown in places.	Road suitable for all vehicles	The road to Walt Bailey trailhead is in good shape aside from the occasional pothole, but does have a giant tree over the road that you have to drive under. My Outback made it with plenty of clearance, but a taller SUV or a high truck will not clear it. Cars, small to mid size SUVs, or lower trucks only.  There are a ton of ripe berries everywhere along the trail right now, especially up on Bald Ridge. On the down side, there are so many spider webs every step of the way! This was one of the worst trails in regard to spiders I have ever hiked. I suggest trekking poles to wave in front of you as you hike to clear the way. A lot of nice meadows, ponds, and lakes. The Cutthroat Lakes basin is very pretty with many lakes. Trail is easy to follow to get to the start of the Cutthroat Lakes basin. Through the basin, just be sure to follow the main largest trails. Aim for the right/west shore of the upper of the two largest lakes and follow the right side of that lake as the trail leads up past it and climbs up toward the ridge. As you near the top of the ridge go right at a trail junction. The trail reaches the ridge and goes west along the south side of Bald Mountain. It gets brushy in places. Some switchbacks and up to a high point on the shoulder of the mountain just under the summit on its south side. Here a boot path heads up to the top. There are a couple places of some easy scrambling up grippy good rock. The summit has a register and a geocache, but the very tippy top rock is infested with flying ants! 10 miles 2800' gain 7 hours round trip.	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.1331870679
Pinnacle Lake	RTMoore	Obstacles on trail:	    Trees down across trail,	    Muddy or wet trail.	Road rough but passable	Nothing much new to report on the hike itself; just posting a current picture of the bathtub pothole, largely drained.  It is between 12" and 18" down to the top of the water.  Fortunately the slope is sufficiently gentle to allow safe passenger car passage.  It will be a shame if the Forest Service allows the front pothole to grow into the bathtub; it might kill access to 3 good trailheads for those of us in passenger cars. I was the first one at the trailhead today.  That, the heat, and the lack of bugs allowed me the choice of trail clothes.  Swimming and sunning at the lake during the day was quiet and good.  The only company was 2 parties passing through to Bathtub Lakes.  Fishing was as poor as would be expected for this heat.	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.7217181506
Lime Kiln Trail	Frog326	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	An easy to moderate hike, relatively level trail, quite wide at points. Took about 3 hours round trip. Nice river access at end. Also view of old Railroad Bridge Foundation near trails end. Robe Canyon Trail Sign and trail needs attention. Machete required for trail access.	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.6902512455
Snow Lake	AsiaS	Trail in good condition	Road suitable for all vehicles	Bugs were not too bad	Snow free	It is a rocky and a hot hike. With the current air situation hiking is not the greatest idea. I heard people complaining about breathing on their way up to the lake. The trail gets busy even on a Tuesday morning. Be ready to share the trail with bigger groups of people. To the guy in flipflops, I hope you made it safe. 	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.7737399703
Bear Ridge	Maddy	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	The Bear Ridge Trail lived up to its name.  We saw a fairly large cub climbing a tree then mama bear came sauntering up the trail. Fortunately we were a couple hundred feet from mom and never were in between the two. I also wanted to share some photos of our 11 day trip to Iceland from last week.  We did the loop road around the perimeter of the island. What an amazing place for beautiful scenery and unbelievable waterfalls.  It's just a 7.5 hour non-stop flight away.  Prices are very high. Expect to pay at least $25 for a cheeseburger. Gas is $9/gal. The weather was often cold and windy.  The terrain around the perimeter is fairly flat and there are no trees so you get to enjoy wide open vistas everywhere you drive and hike. More Iceland photos/videos: https://photos.app.goo.gl/bSLcQWsnBTSdN9La9	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.7273126497
Sloan Peak	Stucker	Obstacles on trail:	    .	Road recommended for high clearance only	Bugs were an annoyance	We did Sloan Peak via Bedal Creek on a somewhat smoky day. 13 hrs. car to car/11.5 miles/5100’ gain. Strong navigation skills required for approach and getting across the glacier. The crevasses are visible (and large) and snow bridge seemed “ok” but you must have glacier travel/rescue skills of course. Scramble seemed sandbagged a little. Expect class four moves. A great alpine trail lies above the glacier that winds around the mountain (corkscrew route) and the meadows below are beautiful and full of berries and flowers. Gear and expertise required. 	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-16.1882531922
Cougar Trails	BeaverDawg	Minor obstacles posing few problems	Road suitable for all vehicles	No bugs	Snow free	We went back to the Cougar Trails last night, still hazy weather but cooler and couldn't smell the smoke this time.  We did a different section of trails which took us passed the field, but from a different direction, where we saw the coyote the night before, and saw another coyote in roughly the same spot, (at the edge of the field near the tree line).  It could have been the same one from the night before but it looked larger to me? Trails we covered were in good shape.  	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-16.9845273716
Summerland - Panhandle Gap	raftisland	Trail in good condition	Road suitable for all vehicles	Bugs were an annoyance	Snow free	Three 60 + ladies hiked to Summerland Meadow , about 8.2 miles round trip. ( we did NOT go to Panhandle gap.) Good hike for a warm day, as about 3/4  of hike is in the trees and passing a waterfall. Summerland was spectacular, with some wildflowers still blooming, the "river" running, and great views. A fabulous spot. On August 15 2018 it was very smoky in Tacoma/Seattle due to wildfires. The air was much clearer on this hike, although there was still a bit of haze.  We had to park on road ( no spots left at (9:30 AM on a Wednsday, but the trail was not all that busy. 	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-16.2443997758
Franklin Falls	MK4R34	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	Great hike for family, dog, or beginner snowshoe. Tiny parking lot on the way down can cut half the distance if there's open spots. Smokey Wednesday evening and only encountered a small handful of people. 	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-16.4038062091
Yellow Aster Butte	hikingwithmylover	Trail in good condition	Road rough but passable	Bugs were an annoyance	Snow free	Despite the smoke hanging around Baker and Shuksan, air to the north were much clearer so the summit at Yellow Aster Butte was a beautiful destination for the day. Road was passable but a bit rough for lower clearance vehicles, I'd imagine any car could make it taken slow enough. Trail felt quite steep up until the split off to Tomyhoi, after that it was nice rolling hills until the summit. Lots of huckleberries are ripening after the split off as well, we couldn't help ourselves from stopping at least a few times for some especially delicious looking berries. Also some nice wildflowers along the way. Summit had a nice breeze but lots and lots of bugs- flies, ants, etc. On the way down, we filtered water at the snowmelt runoff, that seemed to be the last reliable source on the trail although we did hear some trickling water in a few spots. Saw a small black dog (maybe a chihuahua?) on the drive down, 1.9 miles before reaching 542 from the trailhead. No collar, acted a bit frightened and ran down a side road when we pulled over. Checked Chair 9 for any missing dog posters but no reports. 	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.5301731502
Stetattle Creek	C P	Trail in good condition	Road suitable for all vehicles	No bugs	Snow free	Stetattle Creek is always cool, even on the hottest days.  I feel like a proud parent when I hike the part past the "Not Maintained Beyond Here" sign, still looks great 2 months later. The last 2 streams have dried up, the one with 3 waterfalls is flowing nicely (first one past the sign).  Still well worth the walk out to trails end to see the huge trees, possibly extend the trail even further.  I found at least a few more cut logs today, did no clearing.  I did kick sticks on "my" part, almost perfect!	Aug 15, 2018	https://www.wta.org/go-hiking/trip-reports/trip_report.2018-08-15.8979521467
