,Unnamed: 0,Unnamed: 0.1,hike_name,region,length,elevation gain,rating,number_votes,features,"pass(0-no pass, 1- pass required)",which_pass,lat,long,time_from_seattle,url,latlong,numReports,hike_desc
0,0,0.0,Grand Park via Lake Eleanor,Mount Rainier Area -- NE - Sunrise/White River,"8.0 miles, roundtrip",1100,4.25 out of 5,(12 votes) Log in to rate,"[Mountain views, Wildlife, Established campsites]",,No pass or permit required,,,,http://www.wta.org/go-hiking/hikes/grand-park,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=46.9963,-121.6413&f=d&sll=46.9963,-121.6413&geocode=&t=p&saddr=&z=11&mra=mi",212.0,"The classic approach (via Sunrise) to this sea of meadows and wildflowers at the base of Mount Rainier is long and tough, putting Grand Park out of reach for most casual dayhikers. Instead, try this ""backdoor"" approach via Lake Eleanor to enjoy this stunning destination. The hike begins just off FR 7360, following a bootpath along the edge of Eleanor Creek. The trail enters a mixed forest and begins a moderate climb toward Lake Eleanor. Within 0.5 mile, you will cross in to Mount Rainier National Park and in another mile arrive at the lakeside. There are a few campsites around Lake Eleanor that provide nice views of the lake and a pleasant place for a snack, though most hikers will be eager to push onto the meadowlands ahead. From the lake, the trail steepens and climbs through larger stands of hemlock and fir. The moderate climb is broken up by short wanderings through progressively larger meadows. Push onward and upward to the wide expanses of Grand Park. Often filled with wildflowers during the spring and summer months, the miles-long grassland can seem to be awash in color from the moment you arrive. Resist the temptation to linger at the edges and continue onto the meadow's high point for outstanding views of The Mountain. Find a comfortable spot to settle in and soak up the panorama. If you're hungry for more, you can continue all the way through Grand Park's meadows to connect with the Northern Loop Trail and Wonderland Trail."
1,1,1.0,Shellrock Pass,North Cascades -- Pasayten,NR,NR,2.33 out of 5,(3 votes) Log in to rate,[Dogs allowed on leash],,No pass or permit required,,,,http://www.wta.org/go-hiking/hikes/shellrock-pass,NR,2.0,"The Shellrock Pass trail has not been maintained for 25 years. However, the way is relatively easy to follow if you have a map and are familiar with cross-country travel."
2,2,,Soda Peaks Lake,Southwest Washington -- Lewis River Region,"7.0 miles, roundtrip",2500,3.00 out of 5,(4 votes) Log in to rate,"[Old growth, Lakes]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/soda-peaks-lake,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=45.8846,-122.0001&f=d&sll=45.8846,-122.0001&geocode=&t=p&saddr=&z=11&mra=mi",24.0,"Take a trip to a seldom-seen part of the South Cascades. The approach from the west begins with a walk through a flat wooded meadow. Shortly after winding through this area, the trail begins climbing steeply 700 feet to a ridgeline. Catch your breath here and gaze at Mount Hood, Indian Heaven, and your destination, all visible from the ridgeline. As so many hikes to lake basins do, the trail begins descending roughly a quarter-mile after gaining the ridgeline. You'll lose nearly all the elevation you just gained as you descend to the lake. It's just 2.2 miles to the lake from the western approach, with about 1270 feet of elevation gain. The lake also used to be accessible from the Government Mineral Springs, but due to trail damage, the way is nearly impossible to navigate. Instead, go to the Trapper Creek trailhead and follow Trapper Creek Trail 192 for about 1.8 miles to the junction with Trail 133.The lake is subalpine, still with snow on its western shores in early summer. It is a lovely little lake, very quiet, with fish, clear water, and several nice campsites around the shores. The views to Mount Adams and the Goat Rocks remain mostly obscured by trees, but the lake itself is the treat.Note that the bridge over Trapper Creek is washed out, making for a difficult ford during hiking season, especially early season. It's typically easy to cross Trapper Creek by April.WTA Pro Tip: Overnighters, take note of where you drop your pack. While camping sites are available around Soda Peaks Lake, some areas have been designated as day use areas. Please be sure to keep these areas clear for day hikers to enjoy the destination."
3,3,,Shorthorn,South Cascades -- Mount Adams Area,"5.6 miles, roundtrip",1400,3.67 out of 5,(3 votes) Log in to rate,"[Mountain views, Dogs allowed on leash]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/shorthorn,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=46.1989,-121.0593&f=d&sll=46.1989,-121.0593&geocode=&t=p&saddr=&z=11&mra=mi",5.0,"This trail ascends the south slopes of Mount Adams through dry lodgepole pine forest and crosses Shorthorn Creek and Crofton Creek before ending at the Round the Mountain Trail at treeline. Along the way, the trail passes through brilliant blooms of Beargrass and phlox. Crofton Creek carves a deep ravine as it descends from the high glaciers on Mount Adams."
4,4,,West Fork Teanaway River,Snoqualmie Region -- Salmon La Sac/Teanaway,"9.6 miles, one-way",2800,2.75 out of 5,(4 votes) Log in to rate,"[Ridges/passes, Wildlife, Established campsites, Mountain views, Good for kids, Dogs allowed on leash]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/west-fork-teanaway-river,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.2915,-121.0064&f=d&sll=47.2915,-121.0064&geocode=&t=p&saddr=&z=11&mra=mi",5.0,"The West Fork Teanaway Trail begins at Forest Road 4305-113 and ends at Jolly Mountain Trail 1307.Hiking through a deep canyon with a riparian zone, old-growth, and cliffs, this dramatic trail parallels the river with several crossings. In places, it climbs high above the river to avoid cliffs and other obstructions in the deep, rugged canyon. The upper end of the trail is a series of switchbacks as it climbs to meet the Jolly Mountain Trail. Most of the trail is quite narrow but has a gradual grade."
5,5,,Fishtrap Lake - North,Eastern Washington -- Spokane Area/Coeur d'Alene,"4.0 miles, roundtrip",126,1.50 out of 5,(4 votes) Log in to rate,"[Wildlife, Lakes]",,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/fishtrap-lake-north,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.3206,-117.8423&f=d&sll=47.3206,-117.8423&geocode=&t=p&saddr=&z=11&mra=mi",4.0,"There is rich land here. Fishtrap Lake is rife with wildlife habitat and natural resources, and hikers who visit will enjoy the landscape in either a short 4 mile out-and-back, or a longer, 7.5 mile loop. Beginning from the trailhead on Fishtrap Road, about a mile before the resort itself, the trail runs parallel to the lake for two miles. Be sure to stay on the trail, since it is abutted by private land. At times the trail takes hikers to the cliffs overlooking the lake, and at other times it contours through ponderosa pine and aspen groves, or passes near basalt outcroppings, but it only descends to the lakeshore in two spots.  It's an excellent out and back, but there is also a longer loop option that takes hikers close to the Farmer's Landing trailhead and the old Ranch House before returning to the starting location. The spring wildflowers are fantastic in the wake of the Watermelon Hill fire, which was started in 2014 by unknown persons shooting exploding targets, the resulting wildfire burned 13,000 acres. Look for a profusion of flowers here, as well as young aspen shoots popping out beneath the charred remains of their parent plants."
6,6,,Lake George,Mount Rainier Area -- SW - Longmire/Paradise,"9.2 miles, roundtrip",930,2.71 out of 5,(7 votes) Log in to rate,"[Established campsites, Waterfalls, Old growth, Good for kids, Lakes]",,National Park/Refuge entry fee required,,,,http://www.wta.org/go-hiking/hikes/lake-george,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=46.7834,-121.8876&f=d&sll=46.7834,-121.8876&geocode=&t=p&saddr=&z=11&mra=mi",22.0,"Ascend the decommissioned portion of the Westside Road to the Lake George Trailhead, and then follow a moderately steep trail through an old-growth Douglas fir and hemlock forest to a secluded and beautiful campground on the shores of a beautiful blue-green mountain lake. Grab a permit at the Longmire Ranger Station and make it an overnight - but bring warm clothes.The first portion of this hike is a 3.8 mile gradually ascending road hike on the decommissioned portion of the Westside Road along a rushing creek and up to Round Pass, where the Lake George Trailhead will be on your left at the edge of an old parking area. The second portion of this hike ascends 0.8 miles through old-growth forest to the campground by Lake George. From here you can take a rough, unmarked and overgrown trail down the south side of the lake for different perspectives.If you wish to make this an overnight, grab a first-come, first-served permit at the Longmire ranger station. Come early for the best chance at a campsite. Conditions permitting, hike Gobblers Knob in the morning (a 3.2 mile roundtrip hike from the Lake George Camp) for one of the best views around before heading back to your car."
7,7,,Martin Creek Connector,Central Cascades -- Stevens Pass - West,NR,NR,0.00 out of 5,(0 votes) Log in to rate,[],,Northwest Forest Pass required,,,,http://www.wta.org/go-hiking/hikes/martin-creek-1,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.7293,-121.2065&f=d&sll=47.7293,-121.2065&geocode=&t=p&saddr=&z=11&mra=mi",2.0,"WTA helped build this new trail, designed to increase the connectivity of the trail system in the Iron Goat of Steven's Pass. Connecting the Kelly Creek Trail with the Iron Goat trail, it provides access to the Wild Sky Wilderness.The Iron Goat Trail is an easy, family-friendly trail that follows the trace of the old railroad grade over Stevens Pass. The route was abandoned by the railroad due to frequent avalanches, but during the summer, hikers can enjoy stunning views of the dramatic hillsides.Hiking this trail is a great history lesson. The Kelley Creek trail, accessible thanks to the Martin Creek Connector, is a very old trail that had mostly been forgotten but now provides access to the new Wild Sky Wilderness. WTA is helping with improvements on this trail to rehabilitate it and provide access to some very scenic meadows below Captain Point, traveling through some fine old-growth forest."
8,8,,Japanese Gulch,Puget Sound and Islands -- Seattle-Tacoma Area,4.0 miles of trails,174,0.00 out of 5,(0 votes) Log in to rate,"[Dogs allowed on leash, Waterfalls, Old growth, Good for kids]",,No pass or permit required,,,,http://www.wta.org/go-hiking/hikes/japanese-gulch,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=47.9468,-122.2921&f=d&sll=47.9468,-122.2921&geocode=&t=p&saddr=&z=11&mra=mi",19.0,"This emerald gem right in the heart of Mukilteo makes for great hiking. The woods here are packed with woodpeckers, herons, and black-tailed deer -- wildlife sightings hikers of all ages will love. There's rich history here, too. Originally owned by the Mukilteo Lumber Company, Japanese Gulch was housing for millworkers and their families, many who were Japanese. The area was used for defense during World War Two and by the Boeing Company in the 1960s, until 2007, when a company tried to purchase the area to be an industrial park. The community of Mukilteo protested, saving wildlife habitat in 2014 when they purchased the land and preserved it for public use. Access this area from either the Mukilteo dog park on 5th Street or from the community garden at the intersection of 76th and 44th. From the dog park, there are two route options. Go through the shelter and start climbing trails up along the gulch. There aren't any signs, and there are many side trails here, but it's easy to keep track of where you are. Catch glimpses of Puget Sound and the creek running through the gulch, as well as railroad tracks below. You can take any number of paths that will lead you down to the gravel road that runs along the tracks, or do an out and back hike. The gravel road will lead you back to the dog park.Alternatively, walk around the gate and down to the gravel road. Turn left and walk all the way to the water and enjoy the sand."
9,9,,Oyster Dome,Puget Sound and Islands -- Bellingham Area,"5.0 miles, roundtrip",1900,3.96 out of 5,(81 votes) Log in to rate,"[Wildlife, Summits, Dogs allowed on leash, Coast]",,Discover Pass required,,,,http://www.wta.org/go-hiking/hikes/oyster-dome,"http://maps.google.com/maps?hl=en&sz=11&spn=0.288219,0.275345&mrsp=0&ie=UTF8&daddr=48.6086,-122.4334&f=d&sll=48.6086,-122.4334&geocode=&t=p&saddr=&z=11&mra=mi",398.0,"Oyster fishing and logging were the dominant industries in the Chuckanut area from the late nineteenth to early twentieth centuries. The forest lands of Blanchard Mountain became state trust lands in the 1920s and 1930s, giving the forest a needed respite. Much of the forest on Blanchard is second-growth; logging artifacts can be seen on the trail, and giant stumps inspire imagination about the towering cathedral forests that blanketed the mountain prior to logging.Access to Oyster Dome is best from the Samish Overlook parking area on Blanchard Mountain. It's a bit of a rough road to get there, but the views from the beginning and end of the hike are well worth it.From the trailhead, head northwest on a section of the Pacific Northwest Trail, entering the second-growth forest of Blanchard Mountain. In 0.4 miles, descend 190 feet to the junction with the Samish Bay Connector and turn right. You ascend as the trail switchbacks steeply through second-growth alder, Western redcedar, and Douglas fir forest. Logging artifacts can be seen on the trail, and giant stumps inspire imagination what grew on Blanchard prior to logging. The elevation gain briefly becomes gentler as you cross several small creeks. This area receives substantial rainfall, and the Washington Conservation Corps has built turnpikes to reduce the numbers of waterspots and mudholes. After another one-half mile, the grade steepens, and switchbacks fortified by rock walls lift you past giant boulders. Here, formerly rooty and slippery sections have been bypassed or rehabilitated by WTA volunteers in 2014, 2015, and 2016. 1.9 miles from the Samish Overlook, you will come to a junction with the trail to Lily and Lizard Lakes. A turn to the right takes you to the lakes; but you'll continue to the left on the trail to Oyster Dome, which is now one-quarter mile away. The trail climbs steeply, crosses a creek, and heads left. Here it becomes a bit fainter and harder to tell where the true trail is. Refer to your map to determine which is the best route.One-tenth of a mile past the creek crossing, emerge from the forest onto the rocky promontory called Oyster Dome. Arrayed before you are the Skagit River flats and Anacortes to the left. Lummi Island and Orcas Island are in the foreground and background, respectively, to the right. Samish Bay is below you, and in the distance are Vancouver Island and the Olympic Mountains. Birds of prey, including bald eagles, may circle above you. A word of caution: be careful near the edge of the promontory, as the dropoff is unforgiving; keep children and pets away from the edge. NOTE: There is another way to access Oyster Dome, found along Chuckanut Drive (Highway 11). This access point includes more switchbacks and elevation gain, but lacks any facilities, and requires crossing a highway to get to the trailhead. If you choose to start here, park carefully. It is a state highway, so parked cars must be completely clear of the way of travel. Any vehicles on or near the white lines delineating the shoulder of the road will be towed."
